Subject,trial_number,State_1_chosen,State_2_chosen,State_3_chosen,outcome_type,State_1_shown,State_2_shown,State_3_shown,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_shock,State_2_shock
M214,0,2,3,5,too_few_moves,1,3,5,nan,11.541390713513465,14.418166730435132,,0.0,0.0,0.0,1.0
M214,1,2,4,6,moves_entered,2,4,6,7.478849477450694,9.86970592557418,11.922145644350621,,0.0,0.0,1.0,0.0
M214,2,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M214,3,1,3,5,moves_entered,1,3,5,8.192312108330498,10.05061001756394,12.405355809267803,,0.0,0.0,0.0,1.0
M214,4,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,1.0,1.0,0.0,1.0
M214,5,1,3,5,moves_entered,1,3,5,8.010656519959412,9.746395244249925,11.851313177162865,,1.0,0.0,1.0,0.0
M214,6,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M214,7,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M214,8,2,4,6,moves_entered,2,4,6,7.743006983058422,9.822023898589123,12.693527724860814,,0.0,0.0,1.0,0.0
M214,9,2,4,6,moves_entered,2,4,6,7.611909527199714,10.015173197320564,11.736207028716763,,0.0,0.0,1.0,0.0
M214,10,2,4,6,moves_entered,2,4,6,8.053340510207363,10.37412435608121,11.793711063198316,,1.0,0.0,0.0,1.0
M214,11,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M214,12,2,4,6,moves_entered,2,4,6,7.561565629735469,9.743900075417514,12.34072343828484,,1.0,0.0,0.0,1.0
M214,13,1,3,5,moves_entered,1,3,5,8.36155277563239,10.220896084954802,11.861884003102205,,1.0,0.0,1.0,0.0
M214,14,2,4,6,moves_entered,2,4,6,7.558927525956733,10.448212861266256,12.392159934497613,,0.0,0.0,1.0,0.0
M214,15,2,4,6,moves_entered,2,4,6,7.4794463229063695,9.899731302385135,11.876921964548728,,0.0,0.0,1.0,0.0
M214,16,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M214,17,2,4,6,moves_entered,2,4,6,8.18132720621088,10.324348181496134,11.896897039639953,,0.0,0.0,1.0,0.0
M214,18,2,4,6,moves_entered,2,4,6,7.524741637552779,9.882407386021441,11.9144033905377,,0.0,0.0,1.0,0.0
M214,19,2,4,6,moves_entered,2,4,6,7.99791154301829,10.219280618791345,12.007954145665735,,0.0,0.0,1.0,0.0
M214,20,2,4,6,moves_entered,2,4,6,7.719996465121767,9.949286881818807,11.835030309238391,,0.0,0.0,1.0,0.0
M214,21,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M214,22,2,4,6,moves_entered,2,4,6,7.61514983231109,10.659123919242575,11.886214075042062,,0.0,0.0,1.0,0.0
M214,23,2,4,6,moves_entered,2,4,6,7.821833095499187,9.727321964816383,11.8522243456041,,1.0,0.0,0.0,1.0
M214,24,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M214,25,2,4,6,moves_entered,2,4,6,8.125180551608082,10.663775832478677,12.273660168984406,,0.0,0.0,1.0,0.0
M214,26,2,4,6,moves_entered,2,4,6,7.562076446429273,10.528938636051862,12.368020330905892,,0.0,0.0,1.0,0.0
M214,27,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M214,28,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M214,29,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M214,30,2,4,6,moves_entered,2,4,6,7.910805580689157,10.701057752078668,11.834537568626729,,0.0,0.0,1.0,0.0
M214,31,2,4,6,too_few_moves,2,4,6,nan,10.701057752078668,11.834537568626729,,0.0,0.0,1.0,0.0
M214,32,2,4,6,moves_entered,2,4,6,7.568628022010671,9.739165146099367,11.891581667237006,,1.0,0.0,0.0,1.0
M214,33,2,4,6,moves_entered,2,4,6,7.910075507812508,9.76325085618646,12.286386735100677,,0.0,0.0,1.0,0.0
M214,34,2,4,6,moves_entered,2,4,6,8.513952894399154,9.951870087866155,11.625476965882626,,0.0,0.0,1.0,0.0
M214,35,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M214,36,2,4,6,moves_entered,2,4,6,7.649108765460369,10.287924875801764,11.876278924660255,,1.0,0.0,0.0,1.0
M214,37,2,4,6,moves_entered,2,4,6,7.769770965996031,9.910351670179807,12.01313060002849,,0.0,0.0,1.0,0.0
M214,38,1,3,5,moves_entered,1,3,5,8.518748746808342,9.753259803846959,11.975609004967737,,0.0,0.0,0.0,1.0
M214,39,2,4,6,moves_entered,2,4,6,8.13837810008954,9.773694480066297,12.212248018576247,,1.0,0.0,0.0,1.0
M214,40,2,4,6,too_few_moves,2,4,6,8.13837810008954,9.773694480066297,12.212248018576247,,1.0,0.0,0.0,1.0
M214,41,1,3,5,moves_entered,1,3,5,7.983412181873973,10.228842196806909,12.050640144368117,,1.0,0.0,1.0,0.0
M214,42,2,4,6,moves_entered,2,4,6,7.49950073191394,9.914549003421598,11.836467023033038,,1.0,0.0,0.0,1.0
M214,43,2,4,6,moves_entered,2,4,6,7.752272314171023,10.122452402160889,11.71433630818774,,0.0,0.0,1.0,0.0
M214,44,2,4,6,moves_entered,2,4,6,8.17814581573839,9.945533751560106,11.82277639919721,,0.0,0.0,1.0,0.0
M214,45,2,4,6,moves_entered,2,4,6,8.034444978916326,9.920840484264772,11.724204510115669,,0.0,0.0,1.0,0.0
M214,46,2,4,6,moves_entered,2,4,6,8.094604523774251,9.86439356585197,11.7276978803784,,0.0,0.0,1.0,0.0
M214,47,2,4,6,moves_entered,2,4,6,7.836068344998239,9.788996218417196,11.730746043430372,,0.0,0.0,1.0,0.0
M214,48,2,4,6,moves_entered,2,4,6,7.789031701096974,9.777921270628212,11.74922984173736,,1.0,0.0,0.0,1.0
M214,49,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M214,50,2,4,6,moves_entered,2,4,6,7.957401034286704,9.887849290998929,11.674289752233562,,1.0,0.0,0.0,1.0
M214,51,2,4,6,moves_entered,2,4,6,7.640020513005766,9.977906341122434,11.929943800120782,,1.0,0.0,0.0,1.0
M214,52,1,3,6,too_few_moves,1,3,5,nan,nan,11.929943800120782,,0.0,0.0,0.0,1.0
M214,53,1,3,5,moves_entered,1,3,5,7.847644736696566,9.868087446729987,11.822637815900634,,0.0,0.0,0.0,1.0
M214,54,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
