Subject,trial_number,State_1_chosen,State_2_chosen,State_3_chosen,outcome_type,State_1_shown,State_2_shown,State_3_shown,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_shock,State_2_shock
M213,0,2,4,6,moves_entered,2,4,6,8.686175260678283,9.88096472673351,11.802132537617581,,1.0,0.0,0.0,1.0
M213,1,1,3,5,moves_entered,1,3,5,7.716987359628547,10.020394445484271,11.758225145982578,,1.0,0.0,1.0,0.0
M213,2,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M213,3,1,3,5,moves_entered,1,3,5,7.668253589406959,9.956109345686855,11.679452876516734,,0.0,0.0,0.0,1.0
M213,4,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,1.0,1.0,0.0,1.0
M213,5,1,3,5,moves_entered,1,3,5,7.625955325376708,9.960274934201152,11.800640236629988,,1.0,0.0,1.0,0.0
M213,6,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M213,7,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M213,8,2,4,6,moves_entered,2,4,6,7.755406243624748,9.691832480675657,11.746526081959018,,0.0,0.0,1.0,0.0
M213,9,2,4,6,moves_entered,2,4,6,7.95312005726737,9.69932110013906,11.717992269361275,,0.0,0.0,1.0,0.0
M213,10,2,4,6,moves_entered,2,4,6,7.550118784871302,9.610472618878703,11.593754027417162,,1.0,0.0,0.0,1.0
M213,11,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M213,12,2,4,6,moves_entered,2,4,6,8.330352190401754,10.153279195859795,11.756380691396771,,1.0,0.0,0.0,1.0
M213,13,2,4,6,moves_entered,2,4,6,8.039495764271123,9.892644040679443,11.964136572656571,,0.0,0.0,1.0,0.0
M213,14,2,4,6,moves_entered,2,4,6,7.6942858395777876,9.853227611383772,11.890694810383138,,0.0,0.0,1.0,0.0
M213,15,2,4,6,moves_entered,2,4,6,7.474562427421915,9.777065362315625,11.770677724911366,,0.0,0.0,1.0,0.0
M213,16,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M213,17,2,4,6,moves_entered,2,4,6,7.977783193229698,9.697980774159078,11.52628548607754,,0.0,0.0,1.0,0.0
M213,18,2,4,6,moves_entered,2,4,6,7.40037451464741,9.780947085571825,12.235266707793926,,0.0,0.0,1.0,0.0
M213,19,2,4,6,moves_entered,2,4,6,7.356036973447772,9.645067356075742,11.71136026683962,,0.0,0.0,1.0,0.0
