Subject,trial_number,State_1_chosen,State_2_chosen,State_3_chosen,outcome_type,State_1_shown,State_2_shown,State_3_shown,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_shock,State_2_shock
M208,0,1,3,5,too_few_moves,1,3,5,7.629812847068479,11.148857697291533,14.419564475856987,,0.0,0.0,0.0,1.0
M208,1,2,4,6,moves_entered,2,4,6,8.594547060716195,10.782415678414054,12.67394303232004,,0.0,0.0,1.0,0.0
M208,2,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M208,3,1,nan,nan,too_few_moves,1,3,5,nan,nan,nan,,0.0,0.0,0.0,1.0
M208,4,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,1.0,1.0,0.0,1.0
M208,5,1,3,5,moves_entered,1,3,5,7.902489603637605,10.548164372152769,12.162373386651325,,1.0,0.0,1.0,0.0
M208,6,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M208,7,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M208,8,2,4,6,moves_entered,2,4,6,8.234269382524872,9.911625481238843,11.882450726280695,,0.0,0.0,1.0,0.0
M208,9,2,4,6,moves_entered,2,4,6,8.124198660816546,9.85161496353112,12.055422828915198,,0.0,0.0,1.0,0.0
M208,10,2,4,6,moves_entered,2,4,6,7.538224100814659,9.848063647194522,12.591506231457515,,1.0,0.0,0.0,1.0
M208,11,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M208,12,2,4,6,moves_entered,2,4,6,8.282468735595558,9.916959318029512,11.815059067539096,,1.0,0.0,0.0,1.0
M208,13,1,3,5,moves_entered,1,3,5,8.241299710143721,9.916615534272296,12.08778268849619,,1.0,0.0,1.0,0.0
M208,14,1,3,5,moves_entered,1,3,5,7.628580313677048,9.863601869621561,12.28670996266601,,1.0,0.0,1.0,0.0
M208,15,2,4,6,moves_entered,2,4,6,7.524733517376717,9.933301599447987,11.787541972917097,,0.0,0.0,1.0,0.0
M208,16,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M208,17,2,4,6,moves_entered,2,4,6,7.727397891705095,10.002017177137077,12.067115493600795,,0.0,0.0,1.0,0.0
M208,18,1,3,5,moves_entered,1,3,5,8.555054776100405,10.218107528998189,11.997512840005584,,1.0,0.0,1.0,0.0
M208,19,2,4,6,moves_entered,2,4,6,8.205419665569025,10.009964373023195,12.133258885906343,,0.0,0.0,1.0,0.0
M208,20,2,4,6,moves_entered,2,4,6,8.503696093819599,10.341278520745618,11.729599513681933,,0.0,0.0,1.0,0.0
M208,21,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M208,22,2,4,6,moves_entered,2,4,6,8.124958533386234,9.95229506621763,11.932426239638517,,0.0,0.0,1.0,0.0
M208,23,2,4,6,moves_entered,2,4,6,7.69712550584245,9.716551129214167,12.022191961217686,,1.0,0.0,0.0,1.0
M208,24,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M208,25,2,4,6,moves_entered,2,4,6,8.030312555338242,9.936941288629896,12.113611326185492,,0.0,0.0,1.0,0.0
M208,26,2,4,6,moves_entered,2,4,6,8.092608716174254,9.929275613814752,11.983954637951683,,0.0,0.0,1.0,0.0
M208,27,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M208,28,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M208,29,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M208,30,2,4,6,moves_entered,2,4,6,8.196483965852167,10.192190518464486,11.89782994453617,,0.0,0.0,1.0,0.0
M208,31,2,4,6,moves_entered,2,4,6,8.628607428072428,10.555680415673123,11.97437455290492,,0.0,0.0,1.0,0.0
M208,32,2,4,6,moves_entered,2,4,6,7.920144422652811,10.058398382776431,11.8780247196255,,1.0,0.0,0.0,1.0
M208,33,2,4,6,moves_entered,2,4,6,8.127731231398684,9.666879899629748,11.917416580553436,,0.0,0.0,1.0,0.0
M208,34,2,4,6,moves_entered,2,4,6,7.631051405881408,10.10313747032069,12.77928480258197,,0.0,0.0,1.0,0.0
M208,35,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M208,36,2,4,6,moves_entered,2,4,6,7.771591678625555,9.892184124822052,12.145872435806268,,1.0,0.0,0.0,1.0
M208,37,2,4,6,moves_entered,2,4,6,7.844848415464185,10.016430654262876,11.728970861397102,,0.0,0.0,1.0,0.0
M208,38,2,4,6,moves_entered,2,4,6,7.81049347195858,10.032736113664214,11.852727992734799,,1.0,0.0,0.0,1.0
M208,39,1,3,5,moves_entered,1,3,5,7.98501142988971,10.27923877505873,11.988649445343071,,0.0,0.0,0.0,1.0
M208,40,1,3,5,moves_entered,1,3,5,7.56076051528089,10.166927266136554,11.763388737082096,,0.0,0.0,0.0,1.0
M208,41,1,3,5,moves_entered,1,3,5,7.901652739575184,10.256195555715749,11.858770820759673,,1.0,0.0,1.0,0.0
M208,42,1,3,5,moves_entered,1,3,5,7.491148823552976,10.380200064070777,12.434159385112252,,0.0,0.0,0.0,1.0
M208,43,1,3,5,moves_entered,1,3,5,7.874806809931215,10.123340373033898,11.976951759473195,,1.0,0.0,1.0,0.0
M208,44,2,4,6,moves_entered,2,4,6,7.678893920116025,9.740936343768226,12.124813923275724,,0.0,0.0,1.0,0.0
M208,45,2,4,6,moves_entered,2,4,6,7.899399232026553,9.599764071283062,11.664869082659607,,0.0,0.0,1.0,0.0
M208,46,2,4,6,moves_entered,2,4,6,8.383867871884831,10.075567485889223,11.880940354019913,,0.0,0.0,1.0,0.0
M208,47,2,4,6,moves_entered,2,4,6,7.876000512829705,9.898820122094548,12.069450009590582,,0.0,0.0,1.0,0.0
