Subject,trial_number,State_1_chosen,State_2_chosen,State_3_chosen,outcome_type,State_1_shown,State_2_shown,State_3_shown,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_shock,State_2_shock
M212,81,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,1.0,1.0,0.0,1.0
M212,82,1,3,5,moves_entered,1,3,5,7.517185280204103,10.58794325623876,12.007665054075005,,1.0,0.0,1.0,0.0
M212,83,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M212,84,1,3,5,moves_entered,1,3,5,7.416249124634305,9.857316113016168,11.786329839012978,,0.0,0.0,0.0,1.0
M212,85,2,4,6,moves_entered,2,4,6,7.698910128261559,10.15145461289103,11.891738894073569,,0.0,0.0,1.0,0.0
M212,86,1,3,5,moves_entered,1,3,5,8.071117829870673,10.256050565656551,11.774327123539479,,0.0,0.0,0.0,1.0
M212,87,1,3,5,moves_entered,1,3,5,7.776075176311679,10.517147118959656,11.75086231021487,,0.0,0.0,0.0,1.0
M212,88,2,4,6,moves_entered,2,4,6,7.397405169308513,9.733914700916102,11.635113901271325,,1.0,0.0,0.0,1.0
M212,89,1,3,5,moves_entered,1,3,5,7.693389468299756,9.863887880926086,11.699499619056951,,0.0,0.0,0.0,1.0
M212,90,2,4,6,moves_entered,2,4,6,7.651870369601966,10.172039926034813,11.857494198821769,,1.0,0.0,0.0,1.0
M212,91,1,3,5,moves_entered,1,3,5,7.703445625583299,9.909056399640576,11.729827765585469,,0.0,0.0,0.0,1.0
M212,92,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M212,93,2,3,5,invalid_moves,1,3,5,nan,nan,nan,,1.0,0.0,1.0,0.0
M212,94,1,3,5,moves_entered,1,3,5,7.469572433388748,9.890749714460071,11.664983778124224,,0.0,0.0,0.0,1.0
M212,95,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M212,96,1,3,5,moves_entered,1,3,5,7.3874367159369285,9.83994906478165,11.62549124232919,,0.0,0.0,0.0,1.0
M212,97,1,3,5,moves_entered,1,3,5,7.914502410853856,10.100553873634453,11.65435553692896,,0.0,0.0,0.0,1.0
M212,98,2,4,6,moves_entered,2,4,6,7.735675808850829,10.070673619600711,11.78200556752472,,1.0,0.0,0.0,1.0
M212,99,1,3,5,moves_entered,1,3,5,7.947470712919312,9.716047204789902,11.769166317413692,,1.0,0.0,1.0,0.0
