Subject,trial_number,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
M015,0,2,6,10,8.630426567,11.58296062,14.46147422,nan,nan,0,0.23,0.19,1,1,0,1,1,0
M015,1,1,4,8,9.993723562,12.68303685,14.40330653,0.17,1,0,0.24,0.17,0.92,0.92,0,1,0,0
M015,2,1,4,8,9.993723562,12.68303685,14.40330653,nan,nan,1,0.21,0.27,0.92,0.93,0,0,0,0
M015,3,1,3,7,10.37038385,12.66746525,14.65577267,0.24,0,0,0.24,0.26,0.91,0.9,0,1,0,0
M015,4,1,3,7,10.37038385,12.66746525,14.65577267,nan,nan,1,0.23,0.28,0.89,0.88,1,0,0,1
M015,5,2,5,9,10.21470742,12.63770389,14.17483044,0.88,0,0,0.36,0.23,0.88,0.92,0,1,0,0
M015,6,2,5,9,10.66280998,12.63770389,14.17483044,nan,nan,0,0.34,0.35,0.85,0.85,1,1,0,0
M015,7,2,5,9,10.66280998,12.63770389,14.17483044,nan,nan,1,0.38,0.34,0.78,0.74,1,0,0,0
M015,8,2,5,9,10.66280998,12.63770389,14.17483044,nan,nan,1,0.34,0.32,0.78,0.79,0,0,0,1
M015,9,2,5,9,9.959665431,12.75397868,14.3712341,0.8,1,0,0.34,0.38,0.8,0.79,0,0,1,0
M015,10,2,6,9,10.64529486,12.84996567,14.3712341,nan,nan,0,0.42,0.32,0.82,0.78,0,0,1,0
M015,11,1,3,7,9.751179217,12.32515633,14.39614034,0.37,0,0,0.37,0.33,0.81,0.81,0,0,1,0
M015,12,2,6,10,10.11099354,12.43316162,14.17282332,0.74,0,0,0.36,0.38,0.78,0.74,0,1,1,0
M015,13,1,4,8,9.749383319,12.25895179,14.38051251,0.38,0,0,0.39,0.38,0.81,0.78,1,0,1,0
M015,14,2,5,9,9.89947857,12.2729454,14.68437816,0.76,0,0,0.41,0.37,0.76,0.73,0,0,0,0
M015,15,2,5,9,9.89947857,12.2729454,14.68437816,nan,nan,1,0.31,0.4,0.8,0.74,1,0,0,0
M015,16,2,5,9,9.89947857,12.2729454,14.68437816,nan,nan,0,0.34,0.34,0.79,0.76,1,0,0,0
M015,17,2,5,9,9.920715695,12.64126254,14.07751318,0.75,0,0,0.34,0.35,0.75,0.75,1,0,0,0
M015,18,2,6,10,10.08098781,12.21272373,14.17555684,0.78,0,0,0.39,0.38,0.79,0.78,1,0,1,0
M015,19,1,3,7,10.07257036,12.34968867,14.42114567,0.37,1,0,0.37,0.36,0.78,0.76,1,0,0,1
M015,20,2,5,9,9.927275326,12.44955936,14.62588544,0.72,0,0,0.41,0.39,0.72,0.69,0,0,0,1
M015,21,1,4,8,10.91595933,12.9554085,14.41022233,0.44,0,0,0.52,0.44,0.74,0.72,0,0,0,1
M015,22,1,3,7,10.33103777,12.47917511,14.82027293,0.44,0,0,0.44,0.47,0.64,0.64,0,0,1,0
M015,23,2,6,7,10.68275064,12.36719408,14.82027293,nan,nan,0,0.57,0.5,0.67,0.63,0,0,0,1
M015,24,2,6,10,10.48443761,12.2582331,14.36542563,0.63,0,0,0.55,0.57,0.67,0.63,0,0,0,0
M015,25,2,6,10,10.20945061,12.2582331,14.36542563,nan,nan,0,0.62,0.61,0.64,0.6,0,1,0,1
M015,26,2,6,10,10.20945061,12.2582331,14.36542563,nan,nan,0,0.59,0.65,0.61,0.57,0,1,1,0
M015,27,2,5,9,10.08531939,12.42448106,14.26602124,0.57,0,0,0.58,0.6,0.57,0.59,0,1,0,0
M015,28,1,4,8,10.29230997,12.7211293,14.38990541,0.56,1,0,0.58,0.56,0.56,0.58,0,1,0,0
M015,29,1,4,8,10.10328038,12.74571018,14.24875049,0.56,0,0,0.53,0.56,0.56,0.55,0,0,0,1
M015,30,1,4,8,10.42484793,12.01124637,14.21064129,0.6,0,0,0.57,0.6,0.5,0.53,0,0,0,1
M015,31,2,6,10,9.842967862,12.36309447,14.11973704,0.51,0,0,0.6,0.65,0.49,0.51,0,0,0,0
M015,32,2,6,10,10.28256626,12.4167515,14.38957535,0.48,1,0,0.63,0.66,0.46,0.48,0,1,0,1
M015,33,2,6,10,10.28256626,12.4167515,14.38957535,nan,nan,1,0.62,0.68,0.49,0.4,0,0,0,1
M015,34,2,5,9,10.3061255,12.13952673,14.13625294,0.47,1,0,0.63,0.65,0.47,0.45,0,0,1,1
M015,35,2,5,9,10.3061255,12.13952673,14.13625294,nan,nan,1,0.71,0.76,0.45,0.44,1,0,0,0
M015,36,1,3,7,10.94233543,12.22875693,14.48449887,0.74,0,0,0.74,0.7,0.41,0.4,0,0,0,0
M015,37,1,3,7,10.62586669,12.22875693,14.48449887,nan,nan,0,0.75,0.69,0.42,0.35,1,1,0,0
M015,38,1,4,8,10.70448854,12.52542326,14.60018116,0.81,0,0,0.68,0.81,0.35,0.34,1,0,0,0
M015,39,1,3,7,10.13283956,12.57369694,14.14406652,0.74,1,0,0.74,0.73,0.34,0.32,1,0,0,0
M015,40,1,3,7,10.13283956,12.57369694,14.14406652,nan,nan,1,0.78,0.79,0.32,0.23,0,1,0,0
M015,41,1,4,8,9.781502616,12.65965,14.21209207,0.76,1,0,0.77,0.76,0.28,0.26,1,1,0,0
M015,42,1,4,8,10.80889099,12.42893749,14.13550513,0.8,0,0,0.74,0.8,0.24,0.2,0,0,0,0
M015,43,1,3,7,9.966860405,12.32739142,14.91764811,0.75,0,0,0.75,0.83,0.27,0.22,0,1,0,0
M015,44,1,4,8,10.05626702,12.38190136,14.30681708,0.78,1,0,0.81,0.78,0.2,0.19,0,1,0,0
