Subject,trial_number,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
M021,73,2,4,8,10.089156382102374,12.949350656304887,14.562259065303806,nan,nan,0,0.46,0.45,0.33,0.26,0.0,1.0,1.0,0.0
M021,74,2,6,10,9.8092419837958,12.533066717907786,14.408671104974928,0.32,0.0,0,0.44,0.44,0.35,0.32,0.0,1.0,0.0,0.0
M021,75,2,5,9,10.16571352822939,12.086401408083475,14.096617240043997,0.32,1.0,0,0.41,0.45,0.32,0.39,0.0,0.0,1.0,0.0
M021,76,1,4,8,9.920646705882973,12.576700752913894,14.302471040973614,0.39,0.0,0,0.38,0.39,0.42,0.39,0.0,0.0,1.0,0.0
M021,77,2,6,10,9.726206129635102,12.065081323620689,14.307472172422422,0.4,0.0,0,0.33,0.33,0.42,0.4,0.0,0.0,1.0,0.0
M021,78,2,6,10,9.726206129635102,12.065081323620689,14.307472172422422,nan,nan,1,0.39,0.41,0.55,0.54,0.0,0.0,0.0,0.0
M021,79,1,3,7,10.613567862073978,12.834434095533652,14.387078870589903,0.35,0.0,0,0.35,0.32,0.64,0.65,0.0,0.0,1.0,0.0
M021,80,1,4,8,9.958748699504213,12.464710557007493,14.573060705835815,0.28,0.0,0,0.28,0.28,0.55,0.56,1.0,0.0,0.0,0.0
M021,81,1,4,8,9.958748699504213,12.464710557007493,14.573060705835815,nan,nan,1,0.31,0.32,0.63,0.6,1.0,0.0,0.0,0.0
M021,82,1,4,8,9.958748699504213,12.464710557007493,14.573060705835815,nan,nan,1,0.29,0.34,0.58,0.56,0.0,0.0,0.0,0.0
M021,83,1,4,8,9.958748699504213,12.464710557007493,14.573060705835815,nan,nan,1,0.31,0.28,0.56,0.54,0.0,0.0,0.0,0.0
M021,84,2,6,10,10.11717108690209,12.142882727152028,14.550720979714242,0.47,1.0,0,0.22,0.2,0.55,0.47,0.0,1.0,0.0,1.0
M021,85,2,6,10,10.11717108690209,12.142882727152028,14.550720979714242,nan,nan,1,0.27,0.24,0.55,0.54,0.0,1.0,0.0,0.0
M021,86,2,5,9,9.819432709675311,12.143845461690944,14.41738994498155,0.56,1.0,0,0.18,0.2,0.56,0.54,0.0,0.0,1.0,0.0
M021,87,2,6,10,9.699467483271292,12.306667104068765,14.078483954199328,0.6,0.0,0,0.2,0.18,0.62,0.6,1.0,0.0,0.0,0.0
M021,88,2,6,10,9.699467483271292,12.306667104068765,14.078483954199328,nan,nan,1,0.2,0.21,0.58,0.59,0.0,0.0,1.0,1.0
M021,89,2,6,10,10.128194665190676,12.651620647775417,14.557973624552687,0.64,1.0,0,0.12,0.18,0.67,0.64,0.0,0.0,1.0,1.0
M021,90,2,5,9,9.794903063742822,12.171066479564615,14.193220085937355,0.76,1.0,0,0.18,0.16,0.76,0.68,0.0,1.0,1.0,1.0
M021,91,2,5,9,9.794903063742822,12.171066479564615,14.193220085937355,nan,nan,1,0.13,0.04,0.75,0.71,0.0,0.0,1.0,0.0
M021,92,2,6,10,10.522953988252993,12.912745989386167,14.372976951948658,0.71,1.0,0,0.08,0.07,0.78,0.71,0.0,0.0,0.0,1.0
M021,93,2,6,10,10.522953988252993,12.912745989386167,14.372976951948658,nan,nan,1,0.0,0.05,0.69,0.64,1.0,0.0,1.0,1.0
M021,94,2,6,10,10.142475339132943,12.585488885702944,14.524290301284054,0.65,1.0,0,0.06,0.0,0.68,0.65,0.0,0.0,1.0,1.0
M021,95,1,4,8,9.80168538799262,12.140632552745956,13.948200128277676,0.03,0.0,0,0.11,0.03,0.71,0.66,1.0,0.0,0.0,1.0
M021,96,1,4,8,9.80168538799262,12.140632552745956,13.948200128277676,nan,nan,1,0.24,0.11,0.74,0.67,0.0,0.0,0.0,0.0
M021,97,2,5,9,10.262266496702068,12.781380258718855,14.101190229113854,0.72,0.0,0,0.14,0.13,0.72,0.73,0.0,0.0,0.0,1.0
M021,98,2,5,9,10.262266496702068,12.781380258718855,14.101190229113854,nan,nan,1,0.11,0.12,0.76,0.72,0.0,0.0,1.0,1.0
M021,99,2,5,9,9.889572406606021,11.79465133343183,13.949674692132248,0.72,0.0,0,0.13,0.05,0.72,0.72,0.0,0.0,0.0,1.0
