Subject,trial_number,State_1,State_2,State_3,outcome_type,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
M012,74,1,4,8,moves_entered,9.71044674296354,12.162526239961153,14.357519901528576,0.44,1.0,0,0.44,0.44,0.35,0.32,0.0,1.0,0.0,0.0
M012,75,1,3,10,moves_entered,9.716767431018525,12.457013664028636,14.99128051676962,0.39,0.0,0,0.41,0.45,0.32,0.39,0.0,0.0,1.0,0.0
M012,76,1,3,10,moves_entered,10.326530721547897,12.517572697786818,14.99128051676962,nan,nan,0,0.38,0.39,0.42,0.39,0.0,0.0,1.0,0.0
M012,77,1,3,7,moves_entered,9.817383264606178,12.425364698214253,14.347590308814688,0.33,0.0,0,0.33,0.33,0.42,0.4,0.0,0.0,1.0,0.0
M012,78,1,3,7,moves_entered,10.293566201024078,12.130947236215434,14.056326830654143,0.39,0.0,0,0.39,0.41,0.55,0.54,0.0,0.0,0.0,0.0
M012,79,1,3,7,moves_entered,9.693856694251735,12.652630289292574,14.060715025745594,0.35,0.0,0,0.35,0.32,0.64,0.65,0.0,0.0,1.0,0.0
M012,80,1,3,7,moves_entered,9.972317113628378,12.719021615601378,14.645774341195647,0.28,1.0,0,0.28,0.28,0.55,0.56,1.0,0.0,0.0,0.0
M012,81,1,4,8,moves_entered,9.781618252804037,12.655497729912895,14.511577048826439,0.32,0.0,0,0.31,0.32,0.63,0.6,1.0,0.0,0.0,0.0
M012,82,2,5,9,moves_entered,10.204456282575848,12.827541154601931,14.117094746383373,0.58,0.0,0,0.29,0.34,0.58,0.56,0.0,0.0,0.0,0.0
M012,83,2,6,10,moves_entered,10.224461082845664,12.301351740836253,14.627713750025578,0.54,0.0,0,0.31,0.28,0.56,0.54,0.0,0.0,0.0,0.0
M012,84,2,6,10,moves_entered,10.198086052005237,12.280297509518277,14.523393943694828,0.47,1.0,0,0.22,0.2,0.55,0.47,0.0,1.0,0.0,1.0
M012,85,2,5,9,moves_entered,10.74664726028277,12.12170454382067,14.386867483470269,0.55,0.0,0,0.27,0.24,0.55,0.54,0.0,1.0,0.0,0.0
M012,86,2,5,9,moves_entered,9.931495417487895,12.693653168229503,14.69353868484177,0.56,1.0,0,0.18,0.2,0.56,0.54,0.0,0.0,1.0,0.0
M012,87,1,5,9,moves_entered,10.103776847106928,12.693653168229503,14.69353868484177,nan,nan,0,0.2,0.18,0.62,0.6,1.0,0.0,0.0,0.0
M012,88,1,4,8,moves_entered,10.305636833923927,12.511509429983562,14.720475085970975,0.21,0.0,0,0.2,0.21,0.58,0.59,0.0,0.0,1.0,1.0
M012,89,1,3,7,moves_entered,10.022566617109987,12.96186129902344,14.501572472836415,0.12,0.0,0,0.12,0.18,0.67,0.64,0.0,0.0,1.0,1.0
M012,90,1,3,7,moves_entered,10.358909435271926,12.96186129902344,14.501572472836415,nan,nan,0,0.18,0.16,0.76,0.68,0.0,1.0,1.0,1.0
M012,91,1,4,8,moves_entered,9.92327403741001,12.29553183391181,14.856819443964923,0.04,0.0,0,0.13,0.04,0.75,0.71,0.0,0.0,1.0,0.0
M012,92,2,6,10,moves_entered,10.813112900366832,12.166293479833257,14.338876851023088,0.71,1.0,0,0.08,0.07,0.78,0.71,0.0,0.0,0.0,1.0
M012,93,2,5,9,moves_entered,10.44608217430141,12.32134850717921,14.409756461700454,0.69,1.0,0,0.0,0.05,0.69,0.64,1.0,0.0,1.0,1.0
M012,94,2,6,10,moves_entered,10.589427425733447,12.714985574089951,14.414537984215713,0.65,1.0,0,0.06,0.0,0.68,0.65,0.0,0.0,1.0,1.0
M012,95,1,4,8,moves_entered,9.720426882438915,12.44383903635753,14.685385927848984,0.03,0.0,0,0.11,0.03,0.71,0.66,1.0,0.0,0.0,1.0
