Subject,trial_number,Move_1,Move_2,Move_3,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward,Shock,trial_type
1007,0,right,up,down,1,3,7,6.557755451882258,6.933648170645029,7.2917054271620145,0.07,0.0,0.0
1007,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1,1.0,1.0
1007,2,up,left,up,2,5,9,6.758371178862944,7.109705783997924,7.418860379539183,0.37,0.0,0.0
1007,3,up,right,right,2,6,10,6.659465555407223,7.010608352584313,7.366149677825888,0.35,0.0,0.0
1007,4,up,left,up,2,5,9,6.56004409239722,6.860412008851199,7.126930004822498,0.3,0.0,0.0
1007,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26,0.0,1.0
1007,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.29,0.0,1.0
1007,7,up,left,up,2,5,9,6.888817997678416,7.219886903600127,7.49596918754105,0.29,0.0,0.0
1007,8,up,right,right,2,6,10,6.240115781041823,6.707022882723322,6.9930048675032594,0.26,0.0,0.0
1007,9,up,left,up,2,5,9,6.289926935560288,6.600114883929564,6.816716281215122,0.18,0.0,0.0
1007,10,up,right,right,2,6,10,6.499464243213879,6.8291208667978935,7.131799851575124,0.13,0.0,0.0
1007,11,right,up,down,1,3,7,6.405836518695651,6.71045299817888,7.030875390772053,0.22,0.0,0.0
1007,12,right,up,down,1,3,7,6.509323774847871,6.930600332132599,7.197445037647412,0.29,0.0,0.0
1007,13,right,up,down,1,3,7,6.134220380985425,6.582777854582673,6.865717356746245,0.29,0.0,0.0
1007,14,up,left,up,2,5,9,6.315210772845603,6.7670647992908926,7.145990627856008,0.09,0.0,0.0
1007,15,up,right,right,2,6,10,6.459425252305664,6.809377032521297,7.2071957776825,0.11,0.0,0.0
1007,16,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14,0.0,1.0
1007,17,up,left,up,2,5,9,7.068943412634326,7.452074957076547,7.806988973217813,0.14,0.0,0.0
1007,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11,0.0,1.0
1007,19,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11,0.0,0.0
1007,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11,0.0,0.0
1007,21,right,up,down,1,3,7,6.568671098892082,6.839353302562813,7.095404207657339,0.73,1.0,0.0
1007,22,right,down,right,1,4,8,7.07787068394282,7.437745262292083,7.696674291004456,0.69,1.0,0.0
1007,23,right,down,right,1,4,8,6.610671686032219,6.9311978490732145,7.222252869838485,0.72,1.0,0.0
1007,24,up,left,up,2,5,9,7.755007007852328,8.076486520050821,8.319625703335987,0.03,0.0,0.0
1007,25,up,right,right,2,6,10,6.477487335820115,6.898731088253044,7.162775330616569,0.06,1.0,0.0
1007,26,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05,1.0,1.0
1007,27,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09,1.0,1.0
1007,28,up,left,up,2,5,9,6.712847417606099,7.044568738383532,7.288863790574396,0.14,0.0,0.0
1007,29,up,right,right,2,6,10,6.399143324731995,6.788343431982867,7.111720269682337,0.09,0.0,0.0
1007,30,right,down,right,1,4,8,7.4647436551913415,7.819376152145196,8.08042778865638,0.66,1.0,0.0
1007,31,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.58,1.0,1.0
1007,32,right,up,down,1,3,7,6.301611153383419,6.685379714484952,6.933908266253638,0.56,0.0,0.0
1007,33,right,up,down,1,3,7,6.348881940361025,6.754479117536903,6.9803542455338174,0.46,1.0,0.0
1007,34,up,left,up,2,5,9,6.683976135473131,7.125079878138422,7.414396911255608,0.3,0.0,0.0
1007,35,up,left,up,2,5,9,6.54129109853784,6.808200744268106,7.028835129844083,0.29,0.0,0.0
1007,36,up,right,right,2,6,10,6.581978822125166,6.8783177672085,7.116510112766264,0.31,0.0,0.0
1007,37,up,right,right,2,6,10,6.136626516428805,6.499513450491577,6.76792140760881,0.33,1.0,0.0
1007,38,up,left,up,2,5,9,6.854847234835688,7.315057125631938,7.624215068606645,0.3,0.0,0.0
1007,39,right,up,down,1,3,7,6.097434761026307,6.4624901627285,6.766435481727967,0.3,0.0,0.0
1007,40,right,down,right,1,4,8,6.333720073522272,6.625940336007261,6.8590860903077555,0.29,1.0,0.0
1007,41,right,down,right,1,4,8,6.333720073522272,6.625940336007261,6.8590860903077555,0.29,1.0,0.0
1007,42,up,left,up,2,5,9,6.419981435132286,6.683732107549076,6.924211419905987,0.44,0.0,0.0
1007,43,up,left,up,2,5,9,6.419981435132286,6.683732107549076,6.924211419905987,0.44,0.0,0.0
1007,44,up,left,up,2,5,9,6.161178269932861,6.565079971867817,6.852332642534748,0.47,0.0,0.0
1007,45,up,left,up,2,5,9,6.161178269932861,6.565079971867817,6.852332642534748,0.47,0.0,0.0
1007,46,right,up,down,1,3,7,6.5695595078323095,6.873697973764138,7.137828914665079,0.01,0.0,0.0
1007,47,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04,0.0,1.0
1007,48,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,0.0,1.0
1007,49,right,down,right,1,4,8,6.83629676072087,7.192217684962088,7.430369861313011,0.0,1.0,0.0
1007,50,up,left,up,2,5,9,6.57309004630406,6.872643197360958,7.163061870953243,0.8,0.0,0.0
1007,51,up,left,up,2,5,9,6.743785405389644,7.099666160424022,7.34991964485198,0.72,0.0,0.0
1007,52,up,left,up,2,5,9,6.743785405389644,7.099666160424022,7.34991964485198,0.72,0.0,0.0
1007,53,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.12,0.0,1.0
1007,54,up,left,up,2,5,9,6.650444555951253,6.967789987356809,7.192530670025008,0.6,1.0,0.0
1007,55,up,right,right,2,6,10,6.06617274164455,6.409948841168443,6.645684505028839,0.54,1.0,0.0
1007,56,right,down,right,1,4,8,6.147978668812357,6.567118893819497,6.8252237843207695,0.18,0.0,0.0
1007,57,right,up,down,1,3,7,6.43108788587233,6.764820010157564,7.018558842699349,0.22,1.0,0.0
1007,58,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.28,1.0,1.0
1007,59,right,down,right,1,4,8,6.272104528308773,6.624627807199431,6.895076359987797,0.39,0.0,0.0
1007,60,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43,0.0,1.0
1007,61,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43,0.0,0.0
1007,62,right,down,right,1,4,8,6.72472444761479,6.939907871927062,7.112560475576174,0.5,0.0,0.0
1007,63,right,down,right,1,4,8,6.407293321903126,6.678851549009778,6.895507844210442,0.61,1.0,0.0
1007,64,right,up,down,1,3,7,6.519740988958802,6.748436329968172,6.9691396726811945,0.54,0.0,0.0
1007,65,right,up,down,1,3,7,6.05174831448312,6.39557094333577,6.612274772098317,0.6,0.0,0.0
1007,66,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.64,0.0,1.0
