Subject,trial_number,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
M011,0,2,5,9,9.84243537630391,12.276279544330464,14.197564181831694,1.0,1.0,0,0.23,0.19,1.0,1.0,0.0,1.0,1.0,0.0
M011,1,2,5,9,10.250140175197885,12.276279544330464,14.197564181831694,nan,nan,0,0.24,0.17,0.92,0.92,0.0,1.0,0.0,0.0
M011,2,2,5,9,10.250140175197885,12.276279544330464,14.197564181831694,nan,nan,1,0.21,0.27,0.92,0.93,0.0,0.0,0.0,0.0
M011,3,1,3,7,10.407557510327024,12.397367484642018,14.091540849312878,0.24,0.0,0,0.24,0.26,0.91,0.9,0.0,1.0,0.0,0.0
M011,4,1,3,7,9.995746707849321,12.13184469224143,14.087871690233442,0.23,1.0,0,0.23,0.28,0.89,0.88,1.0,0.0,0.0,1.0
M011,5,2,6,10,9.900846340198768,12.12527227463579,14.022268023018114,0.92,0.0,0,0.36,0.23,0.88,0.92,0.0,1.0,0.0,0.0
M011,6,2,6,10,9.989746372433729,12.396587189978163,14.368761701491167,0.85,0.0,0,0.34,0.35,0.85,0.85,1.0,1.0,0.0,0.0
M011,7,1,6,10,10.61378728116324,12.396587189978163,14.368761701491167,nan,nan,0,0.38,0.34,0.78,0.74,1.0,0.0,0.0,0.0
M011,8,2,6,10,10.095987625081762,12.41954880825142,14.429636736178509,0.79,1.0,0,0.34,0.32,0.78,0.79,0.0,0.0,0.0,1.0
M011,9,2,6,10,10.095987625081762,12.41954880825142,14.429636736178509,nan,nan,1,0.34,0.38,0.8,0.79,0.0,0.0,1.0,0.0
M011,10,2,6,10,9.907777941061795,12.417012766905827,14.338159823495516,0.78,0.0,0,0.42,0.32,0.82,0.78,0.0,0.0,1.0,0.0
M011,11,2,6,10,9.930304723311565,12.675036897460814,14.356523025722709,0.81,0.0,0,0.37,0.33,0.81,0.81,0.0,0.0,1.0,0.0
M011,12,2,6,10,9.930304723311565,12.675036897460814,14.356523025722709,nan,nan,1,0.36,0.38,0.78,0.74,0.0,1.0,1.0,0.0
M011,13,2,6,10,9.930304723311565,12.675036897460814,14.356523025722709,nan,nan,1,0.39,0.38,0.81,0.78,1.0,0.0,1.0,0.0
M011,14,2,6,10,10.05971480246808,12.330889793669485,14.288027146620152,0.73,0.0,0,0.41,0.37,0.76,0.73,0.0,0.0,0.0,0.0
M011,15,2,6,10,10.253067870238738,12.549208273732802,14.055237229997147,0.74,0.0,0,0.31,0.4,0.8,0.74,1.0,0.0,0.0,0.0
M011,16,2,6,10,9.760158977922401,12.23423267509861,14.344287697418622,0.76,0.0,0,0.34,0.34,0.79,0.76,1.0,0.0,0.0,0.0
M011,17,2,6,10,10.252222634706413,12.077430604491383,14.051635020266986,0.75,0.0,0,0.34,0.35,0.75,0.75,1.0,0.0,0.0,0.0
M011,18,2,6,10,10.14164875492861,12.522456987553596,14.212221068090003,0.78,0.0,0,0.39,0.38,0.79,0.78,1.0,0.0,1.0,0.0
M011,19,1,4,8,10.231301967338368,12.45583502073714,14.244688824444893,0.36,0.0,0,0.37,0.36,0.78,0.76,1.0,0.0,0.0,1.0
M011,20,2,6,10,9.859448544902989,12.384482412908255,14.095234444903326,0.69,1.0,0,0.41,0.39,0.72,0.69,0.0,0.0,0.0,1.0
M011,21,2,5,9,10.004978688350093,12.585959449450456,14.070127769486135,0.74,0.0,0,0.52,0.44,0.74,0.72,0.0,0.0,0.0,1.0
M011,22,1,5,9,9.996111581804143,12.585959449450456,14.070127769486135,nan,nan,0,0.44,0.47,0.64,0.64,0.0,0.0,1.0,0.0
M011,23,1,4,8,10.16906350915815,11.938022309532244,14.346822734529269,0.5,0.0,0,0.57,0.5,0.67,0.63,0.0,0.0,0.0,1.0
M011,24,2,5,9,9.914578990690643,12.409011984935205,14.195462641760969,0.67,0.0,0,0.55,0.57,0.67,0.63,0.0,0.0,0.0,0.0
M011,25,2,5,9,9.914578990690643,12.409011984935205,14.195462641760969,nan,nan,1,0.62,0.61,0.64,0.6,0.0,1.0,0.0,1.0
M011,26,2,5,9,10.113259887664753,12.165325057500013,14.220334994457517,0.61,1.0,0,0.59,0.65,0.61,0.57,0.0,1.0,1.0,0.0
M011,27,1,4,8,10.487313600457128,12.431302770732145,14.287414560076286,0.6,1.0,0,0.58,0.6,0.57,0.59,0.0,1.0,0.0,0.0
M011,28,2,5,9,10.002608346640045,12.796024748495256,14.373662728594354,0.56,0.0,0,0.58,0.56,0.56,0.58,0.0,1.0,0.0,0.0
M011,29,2,6,10,10.21356440677846,12.192335772408114,14.53551010215233,0.55,1.0,0,0.53,0.56,0.56,0.55,0.0,0.0,0.0,1.0
M011,30,1,3,7,10.555169443781779,12.430998820687819,14.304125787115481,0.57,0.0,0,0.57,0.6,0.5,0.53,0.0,0.0,0.0,1.0
M011,31,1,3,7,9.947268349395017,12.509079168612516,14.064729643465398,0.6,0.0,0,0.6,0.65,0.49,0.51,0.0,0.0,0.0,0.0
M011,32,1,3,7,9.874141583815799,12.631203484848811,14.225610603170935,0.63,0.0,0,0.63,0.66,0.46,0.48,0.0,1.0,0.0,1.0
M011,33,1,3,7,9.874141583815799,12.631203484848811,14.225610603170935,nan,nan,1,0.62,0.68,0.49,0.4,0.0,0.0,0.0,1.0
M011,34,1,3,10,9.849011476122541,11.958009702968411,14.284506280353526,0.45,1.0,0,0.63,0.65,0.47,0.45,0.0,0.0,1.0,1.0
M011,35,1,4,8,9.91894475774825,12.546259824397566,14.402632046709186,0.76,0.0,0,0.71,0.76,0.45,0.44,1.0,0.0,0.0,0.0
M011,36,1,4,8,10.285530270644813,12.47318829203141,14.248752649938979,0.7,0.0,0,0.74,0.7,0.41,0.4,0.0,0.0,0.0,0.0
M011,37,1,4,8,9.975848691792635,12.18369696314403,14.492474725782813,0.69,1.0,0,0.75,0.69,0.42,0.35,1.0,1.0,0.0,0.0
M011,38,1,4,8,9.975848691792635,12.18369696314403,14.492474725782813,nan,nan,1,0.68,0.81,0.35,0.34,1.0,0.0,0.0,0.0
M011,39,2,5,9,10.318507176802086,12.257308776755963,14.250822389065434,0.34,0.0,0,0.74,0.73,0.34,0.32,1.0,0.0,0.0,0.0
M011,40,2,6,10,10.219467665639968,12.32125343910593,14.511586756481847,0.23,0.0,0,0.78,0.79,0.32,0.23,0.0,1.0,0.0,0.0
M011,41,2,5,9,9.789584555855981,12.123205882970069,14.435106498000096,0.28,0.0,0,0.77,0.76,0.28,0.26,1.0,1.0,0.0,0.0
M011,42,2,5,9,9.789584555855981,12.123205882970069,14.435106498000096,nan,nan,1,0.74,0.8,0.24,0.2,0.0,0.0,0.0,0.0
M011,43,2,5,9,9.789584555855981,12.123205882970069,14.435106498000096,nan,nan,0,0.75,0.83,0.27,0.22,0.0,1.0,0.0,0.0
M011,44,1,4,8,9.93463902417352,12.340190062506736,14.365531060648209,0.78,1.0,0,0.81,0.78,0.2,0.19,0.0,1.0,0.0,0.0
M011,45,1,3,7,9.97047868449954,12.207674203044007,14.003463624580036,0.89,1.0,0,0.89,0.85,0.15,0.17,1.0,1.0,1.0,0.0
M011,46,1,3,7,10.08561047596595,12.311576914926263,14.603724793985748,0.81,0.0,0,0.81,0.89,0.13,0.15,0.0,0.0,1.0,0.0
M011,47,1,3,7,10.543872745354747,12.120583811713004,14.213062621405697,0.88,0.0,0,0.88,0.97,0.16,0.1,0.0,0.0,0.0,0.0
M011,48,1,3,7,9.850923214788054,12.390854986708291,14.362853086684481,0.85,1.0,0,0.85,0.93,0.07,0.04,1.0,1.0,0.0,0.0
M011,49,1,3,7,9.850923214788054,12.390854986708291,14.362853086684481,nan,nan,0,1.0,0.94,0.02,0.0,1.0,0.0,1.0,0.0
M011,50,2,5,9,10.057328058170242,12.163296826965961,14.171568084308092,0.0,0.0,0,0.98,0.99,0.0,0.0,1.0,0.0,0.0,0.0
M011,51,2,5,9,10.057328058170242,12.163296826965961,14.171568084308092,nan,nan,0,0.97,1.0,0.12,0.1,0.0,0.0,0.0,0.0
M011,52,2,6,10,9.910813089802105,12.30783009460356,14.29336033177242,0.14,0.0,0,0.99,1.0,0.17,0.14,1.0,0.0,0.0,0.0
M011,53,1,4,8,10.45768047954698,12.027063604895375,13.901873343213083,0.98,0.0,0,1.0,0.98,0.23,0.19,1.0,0.0,0.0,0.0
M011,54,1,4,8,10.258976150296803,12.566698791197268,14.640414041554322,0.93,0.0,0,0.99,0.93,0.18,0.14,0.0,0.0,1.0,0.0
M011,55,1,5,8,10.155439986101555,12.90907307622183,13.401586967374897,0.93,0.0,0,0.86,0.93,0.24,0.2,1.0,0.0,1.0,0.0
M011,56,1,5,8,10.155439986101555,12.90907307622183,13.401586967374897,nan,nan,1,0.91,0.87,0.27,0.25,0.0,0.0,1.0,0.0
M011,57,1,4,8,9.809261639060423,12.130692493941751,13.962104659909528,0.9,0.0,0,0.89,0.9,0.26,0.22,0.0,0.0,1.0,0.0
