Subject,trial_number,Move_1,Move_2,Move_3,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward,Shock,trial_type
2010,0,down,right,right,2,5,9,7.048315978836399,7.399094303444144,7.749311588939236,0.37,0.0,0.0
2010,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1,1.0,1.0
2010,2,up,down,up,1,3,7,7.274756520406299,7.558083951000299,7.8607930066937115,0.15,0.0,0.0
2010,3,down,left,down,2,6,10,6.702518047984995,6.993589893796525,7.260250512666971,0.35,0.0,0.0
2010,4,down,left,down,2,6,10,6.587287108082819,6.937285802563565,7.293241018520348,0.3,0.0,0.0
2010,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26,0.0,1.0
2010,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.29,0.0,1.0
2010,7,down,right,right,2,5,9,7.239487713712151,7.576925626164666,7.793293908842315,0.29,0.0,0.0
2010,8,up,right,down,1,4,8,6.443384257563594,6.749743414988188,7.116542151243266,0.26,0.0,0.0
2010,9,down,right,right,2,5,9,7.438011203375936,7.77124600895695,8.059978629633406,0.18,0.0,0.0
2010,10,down,left,down,2,6,10,6.860718692443697,7.377382491427852,7.7662846958828595,0.13,0.0,0.0
2010,11,up,down,up,1,3,7,6.546032656760872,6.8984833867489215,7.231916363663913,0.22,0.0,0.0
2010,12,up,right,down,1,4,8,6.924288508005702,7.315738486146074,7.61574310567994,0.34,0.0,0.0
2010,13,up,right,down,1,4,8,6.684041583843282,7.098319761496896,7.464840990936864,0.35,0.0,0.0
2010,14,up,right,down,1,4,8,7.414654770138441,7.755636668927764,8.088944115015693,0.36,1.0,0.0
2010,15,down,right,right,2,5,9,6.5356172802712535,6.905835811032375,7.25593493017368,0.12,0.0,0.0
2010,16,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14,0.0,1.0
2010,17,up,right,down,1,4,8,7.603679425730661,7.920943362498292,8.237504326629278,0.47,1.0,0.0
2010,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11,0.0,1.0
2010,19,up,right,down,1,4,8,6.070271153283102,6.590155571191644,7.040265603147418,0.61,0.0,0.0
2010,20,up,right,down,1,4,8,6.712540764043297,7.11420727784207,7.454237820329581,0.68,0.0,0.0
2010,21,up,right,down,1,4,8,6.9247571564301325,7.324769006540009,7.724738343542413,0.7,0.0,0.0
2010,22,up,right,down,1,4,8,7.323905019693484,7.657196063086303,7.990671887855569,0.69,1.0,0.0
2010,23,up,right,down,1,4,8,6.426893858497351,6.769921742408769,7.1130252795665,0.72,1.0,0.0
2010,24,down,right,right,2,5,9,6.448101873455016,6.831067641365735,7.148919731906062,0.03,0.0,0.0
2010,25,up,right,down,1,4,8,6.3595376984139875,6.709311441649334,7.078317846733626,0.77,0.0,0.0
2010,26,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05,1.0,1.0
2010,27,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09,1.0,1.0
2010,28,up,right,down,1,4,8,7.845797930851404,8.245791704521253,8.56576074694567,0.74,0.0,0.0
2010,29,up,right,down,1,4,8,7.845797930851404,8.245791704521253,8.56576074694567,0.74,0.0,0.0
2010,30,up,right,down,1,4,8,6.478518495208846,6.86202421305461,7.178506845948505,0.66,1.0,0.0
2010,31,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.58,1.0,1.0
2010,32,up,down,up,1,3,7,7.987303979427452,8.30787222233812,8.591367027369415,0.56,0.0,0.0
2010,33,up,right,down,1,4,8,7.112248662175261,7.4623122979355685,7.728898267807381,0.5,0.0,0.0
2010,34,down,left,down,2,6,10,6.470989658268081,6.809708319915444,7.092562750349316,0.25,0.0,0.0
2010,35,down,right,right,2,5,9,6.482913747935527,6.849365014859359,7.149656514178787,0.29,0.0,0.0
2010,36,up,right,down,1,4,8,6.801016230634559,7.11766690746299,7.384268610530853,0.41,0.0,0.0
2010,37,up,down,up,1,3,7,6.345822702267469,6.647604168829275,6.964278278079291,0.29,0.0,0.0
2010,38,up,right,down,1,4,8,6.633288298451589,6.966740021303849,7.299893817656994,0.35,0.0,0.0
2010,39,down,left,down,2,6,10,6.463242899810211,6.896408613221865,7.229863014064904,0.28,0.0,0.0
2010,40,down,right,right,2,5,9,6.694380972339786,7.013731398843447,7.273727837115075,0.31,0.0,0.0
2010,41,down,right,right,2,5,9,6.646911908155744,7.080141223856117,7.396838430777279,0.36,0.0,0.0
2010,42,up,right,down,1,4,8,7.253538797729561,7.687155083129255,7.972182033761783,0.21,1.0,0.0
2010,43,up,right,down,1,4,8,7.253538797729561,7.687155083129255,7.972182033761783,0.21,1.0,0.0
2010,44,down,left,down,2,6,10,6.521064072943773,6.871000169383478,7.171105548328342,0.44,1.0,0.0
2010,45,down,right,right,2,5,9,6.4213614638429135,6.7823422646561085,7.07535163695502,0.52,0.0,0.0
2010,46,down,right,right,2,5,9,6.397377711215086,6.731257243127402,7.014146152696412,0.63,0.0,0.0
2010,47,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04,0.0,1.0
2010,48,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,0.0,1.0
2010,49,down,right,right,2,5,9,6.041383999137906,6.508445044612017,6.808431252959053,0.68,0.0,0.0
2010,50,down,right,right,2,5,9,6.47477499854358,6.829983055011326,7.137773598624335,0.8,0.0,0.0
2010,51,down,right,right,2,5,9,6.73156621634007,7.081526079949981,7.3505065085228125,0.72,0.0,0.0
2010,52,down,right,right,2,5,9,6.716551055564196,7.088922691085827,7.372165764963938,0.66,0.0,0.0
2010,53,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.12,0.0,1.0
2010,54,down,right,right,2,5,9,6.482601092488039,6.799242731096456,7.082657531147561,0.6,1.0,0.0
2010,55,down,right,right,2,5,9,6.387149124597272,6.737016597518959,7.003579804466426,0.51,0.0,0.0
2010,56,up,down,up,1,3,7,6.516127866036186,6.802977859040766,7.129887249884632,0.13,0.0,0.0
2010,57,down,left,down,2,6,10,6.5056733239289315,6.760389768200184,7.027823656972032,0.51,0.0,0.0
2010,58,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.28,1.0,1.0
2010,59,down,left,down,2,6,10,6.48203603638467,6.765301873187127,7.03539701551199,0.44,0.0,0.0
2010,60,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43,0.0,1.0
2010,61,down,left,down,2,6,10,6.5195650674813805,6.777387311813072,7.044069689360185,0.49,1.0,0.0
2010,62,down,left,down,2,6,10,6.5195650674813805,6.777387311813072,7.044069689360185,0.49,1.0,0.0
2010,63,up,down,up,1,3,7,6.646818513218022,6.976032650065463,7.359173826385813,0.51,0.0,0.0
2010,64,up,down,up,1,3,7,6.384264593543776,6.734343627753333,7.107153449553152,0.54,0.0,0.0
2010,65,up,down,up,1,3,7,6.869580164655417,7.236237636885562,7.689916426594209,0.6,0.0,0.0
2010,66,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.64,0.0,1.0
2010,67,up,down,up,1,3,7,6.582555432740264,6.915781200101264,7.265805670243935,0.7,0.0,0.0
2010,68,up,down,up,1,3,7,6.7815017102329875,7.065468845927171,7.365514974320831,0.72,0.0,0.0
2010,69,up,down,up,1,3,7,6.593724998443577,6.927763201323614,7.270006433873277,0.77,0.0,0.0
2010,70,up,down,up,1,3,7,6.501880953926957,6.870242967428567,7.269898309987184,0.8,0.0,0.0
2010,71,up,down,up,1,3,7,6.873124150992226,7.181300660056877,7.496168464380389,0.82,0.0,0.0
2010,72,up,down,up,1,3,7,6.873124150992226,7.181300660056877,7.496168464380389,0.82,0.0,0.0
2010,73,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.92,0.0,1.0
2010,74,up,down,up,1,3,7,6.405920502496883,6.677574235583961,7.0110142422254285,0.86,1.0,0.0
2010,75,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.78,0.0,1.0
2010,76,up,down,up,1,3,7,6.648791523088221,7.065477214648126,7.398733778907626,0.72,1.0,0.0
2010,77,down,right,right,2,5,9,7.072906296425572,7.339360709987886,7.606355742984306,0.28,0.0,0.0
2010,78,up,down,up,1,3,7,6.620462395316281,6.970534399797543,7.539963659661225,0.64,0.0,0.0
2010,79,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.65,1.0,1.0
