Subject,trial_number,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
M004,0,,,,,,,nan,nan,1,0.23,0.19,1.0,1.0,0.0,1.0,1.0,0.0
M004,1,,,,,,,nan,nan,1,0.24,0.17,0.92,0.92,0.0,1.0,0.0,0.0
M004,2,2,6,10,10.088661806415985,12.388578823531134,14.338621051409064,0.93,0.0,0,0.21,0.27,0.92,0.93,0.0,0.0,0.0,0.0
M004,3,2,6,10,10.616754308063719,12.100179656774344,14.03691181821614,0.9,0.0,0,0.24,0.26,0.91,0.9,0.0,1.0,0.0,0.0
M004,4,2,6,10,10.109162160742017,12.27240780581451,14.372511141096766,0.88,1.0,0,0.23,0.28,0.89,0.88,1.0,0.0,0.0,1.0
M004,5,2,6,10,10.67453135089454,12.628287221874416,14.25807041193184,0.92,0.0,0,0.36,0.23,0.88,0.92,0.0,1.0,0.0,0.0
M004,6,2,6,10,10.67453135089454,12.628287221874416,14.25807041193184,nan,nan,1,0.34,0.35,0.85,0.85,1.0,1.0,0.0,0.0
M004,7,2,6,10,10.67453135089454,12.628287221874416,14.25807041193184,nan,nan,1,0.38,0.34,0.78,0.74,1.0,0.0,0.0,0.0
M004,8,1,3,7,10.159148051307966,12.362131418244644,14.32214297358587,0.34,0.0,0,0.34,0.32,0.78,0.79,0.0,0.0,0.0,1.0
M004,9,2,5,9,10.315258975892903,12.491952266932458,14.180594725181436,0.8,1.0,0,0.34,0.38,0.8,0.79,0.0,0.0,1.0,0.0
M004,10,2,5,9,10.315258975892903,12.491952266932458,14.180594725181436,nan,nan,1,0.42,0.32,0.82,0.78,0.0,0.0,1.0,0.0
M004,11,2,6,10,10.416184775669535,12.27463150611402,14.121411760137562,0.81,0.0,0,0.37,0.33,0.81,0.81,0.0,0.0,1.0,0.0
M004,12,2,6,10,10.192640800598383,12.15314108128132,14.424356196417648,0.74,0.0,0,0.36,0.38,0.78,0.74,0.0,1.0,1.0,0.0
M004,13,2,6,10,10.192640800598383,12.15314108128132,14.424356196417648,nan,nan,1,0.39,0.38,0.81,0.78,1.0,0.0,1.0,0.0
M004,14,1,4,10,10.267605242483114,12.422328655740785,14.424356196417648,nan,nan,0,0.41,0.37,0.76,0.73,0.0,0.0,0.0,0.0
M004,15,2,5,9,10.754271241895367,12.592949701794169,14.127835485677679,0.8,0.0,0,0.31,0.4,0.8,0.74,1.0,0.0,0.0,0.0
M004,16,2,5,9,10.232291489182899,12.984065880175876,14.453454434562445,0.79,0.0,0,0.34,0.34,0.79,0.76,1.0,0.0,0.0,0.0
M004,17,2,5,9,10.232291489182899,12.984065880175876,14.453454434562445,nan,nan,1,0.34,0.35,0.75,0.75,1.0,0.0,0.0,0.0
M004,18,2,6,10,9.95913519716214,12.236111580681609,14.106471828164103,0.78,0.0,0,0.39,0.38,0.79,0.78,1.0,0.0,1.0,0.0
M004,19,2,5,9,10.347116838495822,12.573678859916981,14.030081044720646,0.78,0.0,0,0.37,0.36,0.78,0.76,1.0,0.0,0.0,1.0
M004,20,2,5,9,10.707221720293091,12.573678859916981,14.030081044720646,nan,nan,0,0.41,0.39,0.72,0.69,0.0,0.0,0.0,1.0
M004,21,2,5,9,10.594604003597851,12.952090187901376,13.971442037676752,0.74,0.0,0,0.52,0.44,0.74,0.72,0.0,0.0,0.0,1.0
M004,22,2,6,9,10.36639136254962,12.16817909306701,13.971442037676752,nan,nan,0,0.44,0.47,0.64,0.64,0.0,0.0,1.0,0.0
M004,23,2,6,10,10.125701496604051,12.515599209067659,14.309574363745014,0.63,1.0,0,0.57,0.5,0.67,0.63,0.0,0.0,0.0,1.0
M004,24,1,4,8,10.0133509051293,12.200739582032838,14.405624960876594,0.57,0.0,0,0.55,0.57,0.67,0.63,0.0,0.0,0.0,0.0
M004,25,2,4,8,10.352873420471042,12.200739582032838,14.405624960876594,nan,nan,0,0.62,0.61,0.64,0.6,0.0,1.0,0.0,1.0
M004,26,2,5,9,9.675017733030472,12.117007206689777,14.072063890461322,0.61,1.0,0,0.59,0.65,0.61,0.57,0.0,1.0,1.0,0.0
M004,27,1,3,7,10.05012246586648,12.455321298415583,14.846361155306113,0.58,0.0,0,0.58,0.6,0.57,0.59,0.0,1.0,0.0,0.0
