Subject,trial_number,Move_1,Move_2,Move_3,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward,Shock,trial_type
1005,0,down,up,left,1,3,7,6.512692297521426,6.81265584396715,7.068307734947666,Correct,0,0.0
1005,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.65,0.0,1.0
1005,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.76,0.0,1.0
1005,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.76,0.0,1.0
1005,4,down,up,left,1,3,7,6.990163230919279,7.190138259062223,7.409090559132892,0.15,0.0,0.0
1005,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.64,1.0,1.0
1005,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.64,1.0,0.0
1005,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21,0.0,1.0
1005,8,down,left,right,1,4,8,6.472959596809233,6.789590016345755,7.072941922357131,0.23,1.0,0.0
1005,9,down,left,right,1,4,8,7.569891238526907,7.819840106472839,8.140607284749422,0.25,1.0,0.0
1005,10,down,left,right,1,4,8,7.668964903161395,8.00199774851717,8.299177568980667,0.28,1.0,0.0
1005,11,down,left,right,1,4,8,8.548931281533442,8.765622390044882,8.99894857102845,0.29,1.0,0.0
1005,12,right,down,up,2,5,9,6.857778917394171,7.158000885730871,7.405000329723407,0.32,0.0,0.0
1005,13,down,up,left,1,3,7,7.511827320617158,7.795677659527428,8.045691132949287,0.5,0.0,0.0
1005,14,right,left,right,2,6,10,6.544779124596971,6.864516966968949,7.161563894311257,0.24,1.0,0.0
1005,15,right,down,up,2,5,9,6.539585915739735,6.803627145411156,7.036748463444383,0.34,1.0,0.0
1005,16,right,down,up,2,5,9,6.803478184607229,7.053436425369,7.28666519602848,0.25,1.0,0.0
1005,17,down,left,right,1,4,8,6.856713763943844,7.073249216784461,7.291299048691144,0.56,0.0,0.0
1005,18,down,left,right,1,4,8,6.540765551424556,6.807634358461655,7.0864709109664545,0.59,0.0,0.0
1005,19,down,left,right,1,4,8,6.509462358608289,6.7670939219642605,7.0346810883020225,0.53,0.0,0.0
1005,20,down,left,right,1,4,8,6.58531453994874,6.861793494797894,7.132470677315723,0.6,1.0,0.0
1005,21,down,left,right,1,4,8,6.760067658335174,6.979632538797887,7.214457700654748,0.61,1.0,0.0
1005,22,down,left,right,1,4,8,6.750412989651522,6.950662507369998,7.197288377745281,0.68,1.0,0.0
1005,23,down,left,right,1,4,8,6.679330901533831,6.988680317725084,7.232950598907337,0.66,0.0,0.0
1005,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13,1.0,1.0
1005,25,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.69,0.0,1.0
1005,26,down,left,right,1,4,8,6.594165489765146,6.847366054946178,7.144597760634497,0.67,0.0,0.0
1005,27,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16,0.0,1.0
1005,28,down,up,left,1,3,7,6.481882516454789,6.781944812199072,7.018143760902603,0.74,0.0,0.0
1005,29,down,up,left,1,3,7,6.520283942729293,6.78764716574733,7.054099886758195,0.78,0.0,0.0
1005,30,down,up,left,1,3,7,6.8025947968126275,7.046353590103536,7.298098691051564,0.77,0.0,0.0
1005,31,down,up,left,1,3,7,6.799381260330847,7.004939473375998,7.225509588224668,0.72,0.0,0.0
1005,32,down,up,left,1,3,7,6.720630870771856,6.922417864854651,7.153205017268192,0.69,0.0,0.0
1005,33,down,left,right,1,4,8,6.567239066695038,6.788369207224605,7.026630175176251,0.56,0.0,0.0
1005,34,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4,1.0,1.0
1005,35,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.57,0.0,1.0
1005,36,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.49,1.0,1.0
1005,37,down,up,left,1,3,7,6.525005498158862,6.7940136501674715,7.072793631039531,0.47,0.0,0.0
1005,38,down,left,right,1,4,8,6.7548071660530695,6.98251367510602,7.219501948711695,0.38,1.0,0.0
1005,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.44,1.0,1.0
1005,40,right,down,up,2,5,9,6.843893761822983,7.0823053642961895,7.299476494823466,0.47,1.0,0.0
1005,41,down,up,left,1,3,7,6.746520928321843,6.9648974697738595,7.187538641937863,0.48,0.0,0.0
1005,42,down,left,right,1,4,8,6.484123623409687,6.751875148751424,7.014062234818994,0.47,0.0,0.0
