Subject,trial_number,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
M015,72,1,6,10,10.398722552301479,12.826143659141962,13.367131145423627,0.3,0.0,0,0.47,0.53,0.3,0.3,1.0,0.0,0.0,0.0
M015,73,1,4,8,10.315845446297317,12.423979944855091,13.762312112710788,0.45,1.0,0,0.46,0.45,0.33,0.26,0.0,1.0,1.0,0.0
M015,74,2,5,9,10.897210349066881,12.600841611812939,14.371445987650077,0.35,0.0,0,0.44,0.44,0.35,0.32,0.0,1.0,0.0,0.0
M015,75,2,5,9,10.897210349066881,12.600841611812939,14.371445987650077,nan,nan,1,0.41,0.45,0.32,0.39,0.0,0.0,1.0,0.0
M015,76,1,3,7,10.412463433473022,12.584045193041675,14.126273573056096,0.38,0.0,0,0.38,0.39,0.42,0.39,0.0,0.0,1.0,0.0
M015,77,2,6,10,10.383615918122814,12.605838661052985,14.88990055778413,0.4,0.0,0,0.33,0.33,0.42,0.4,0.0,0.0,1.0,0.0
M015,78,1,4,8,10.155051127017941,12.61158151854761,14.048002870753407,0.41,0.0,0,0.39,0.41,0.55,0.54,0.0,0.0,0.0,0.0
M015,79,1,4,8,10.155051127017941,12.61158151854761,14.048002870753407,nan,nan,1,0.35,0.32,0.64,0.65,0.0,0.0,1.0,0.0
M015,80,2,6,10,10.28095413914707,12.302614714048104,14.244432631719974,0.56,0.0,0,0.28,0.28,0.55,0.56,1.0,0.0,0.0,0.0
M015,81,1,3,7,9.928533626472927,12.852907731663436,14.724713735820842,0.31,1.0,0,0.31,0.32,0.63,0.6,1.0,0.0,0.0,0.0
M015,82,2,5,9,10.58691929973429,12.475720894988626,14.687418636443908,0.58,0.0,0,0.29,0.34,0.58,0.56,0.0,0.0,0.0,0.0
M015,83,2,5,9,10.58691929973429,12.475720894988626,14.687418636443908,nan,nan,1,0.31,0.28,0.56,0.54,0.0,0.0,0.0,0.0
M015,84,1,4,8,10.332447044434957,12.22221571332193,14.26162806461798,0.2,1.0,0,0.22,0.2,0.55,0.47,0.0,1.0,0.0,1.0
M015,85,1,4,8,10.332447044434957,12.22221571332193,14.26162806461798,nan,nan,1,0.27,0.24,0.55,0.54,0.0,1.0,0.0,0.0
M015,86,1,4,8,10.190889088466065,12.780528512928868,14.668071807813249,0.2,0.0,0,0.18,0.2,0.56,0.54,0.0,0.0,1.0,0.0
M015,87,2,5,9,10.704562853599782,12.443360582561581,14.239810495084384,0.62,0.0,0,0.2,0.18,0.62,0.6,1.0,0.0,0.0,0.0
M015,88,2,5,9,10.704562853599782,12.443360582561581,14.239810495084384,nan,nan,1,0.2,0.21,0.58,0.59,0.0,0.0,1.0,1.0
M015,89,2,5,9,10.051158496629796,12.708989500097232,14.032814893929753,0.67,1.0,0,0.12,0.18,0.67,0.64,0.0,0.0,1.0,1.0
M015,90,2,5,9,10.171682517335285,12.459766690561082,14.622020490991417,0.76,1.0,0,0.18,0.16,0.76,0.68,0.0,1.0,1.0,1.0
M015,91,2,6,10,10.240203149063746,12.257561936741695,13.72069145932619,0.71,0.0,0,0.13,0.04,0.75,0.71,0.0,0.0,1.0,0.0
M015,92,2,6,10,10.355475715536159,12.37466789271275,14.730250056643854,0.71,1.0,0,0.08,0.07,0.78,0.71,0.0,0.0,0.0,1.0
M015,93,2,6,10,10.355475715536159,12.37466789271275,14.730250056643854,nan,nan,1,0.0,0.05,0.69,0.64,1.0,0.0,1.0,1.0
M015,94,2,6,10,9.743095164536498,11.919392454161425,14.343841374487965,0.65,1.0,0,0.06,0.0,0.68,0.65,0.0,0.0,1.0,1.0
M015,95,2,5,9,10.21518141584238,12.570712698783609,14.376367050135741,0.71,0.0,0,0.11,0.03,0.71,0.66,1.0,0.0,0.0,1.0
M015,96,2,5,9,10.21518141584238,12.570712698783609,14.376367050135741,nan,nan,0,0.24,0.11,0.74,0.67,0.0,0.0,0.0,0.0
M015,97,1,3,7,10.519273352445452,12.089410627362668,14.348156551437569,0.14,0.0,0,0.14,0.13,0.72,0.73,0.0,0.0,0.0,1.0
M015,98,2,5,9,9.954429374658503,12.408413373254007,14.88400907421601,0.76,1.0,0,0.11,0.12,0.76,0.72,0.0,0.0,1.0,1.0
M015,99,2,5,9,10.114557889348362,11.718121634359704,14.348122072871774,0.72,0.0,0,0.13,0.05,0.72,0.72,0.0,0.0,0.0,1.0
