Subject,trial_number,Move_1,Move_2,Move_3,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward,Shock,trial_type
1004,0,,,,,,,,,,,,0.0
1004,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.65,0.0,1.0
1004,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.76,0.0,1.0
1004,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.76,0.0,1.0
1004,4,right,up,left,2,6,10,6.587846873646413,6.9377862683577405,7.121732779041849,0.72,1.0,0.0
1004,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.64,1.0,1.0
1004,6,right,down,down,2,5,9,6.41698815978998,6.733618914071485,6.916935772451325,0.72,0.0,0.0
1004,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21,0.0,1.0
1004,8,down,right,up,1,4,8,6.630302377045155,6.980301356077689,7.180320235605905,0.23,1.0,0.0
1004,9,down,up,down,1,3,7,6.985866799583164,7.319022495759782,7.552536802524628,0.33,0.0,0.0
1004,10,right,up,left,2,6,10,6.722637657358064,8.205956892415998,8.505972658829705,0.42,0.0,0.0
1004,11,right,down,down,2,5,9,6.524426392104942,6.807807420791505,7.0745004875534505,0.4,0.0,0.0
1004,12,right,down,down,2,5,9,6.524426392104942,6.807807420791505,7.0745004875534505,0.4,0.0,0.0
1004,13,right,up,left,2,6,10,7.707349257521855,8.040671655906408,8.257329624822887,0.38,1.0,0.0
1004,14,right,up,left,2,6,10,7.707349257521855,8.040671655906408,8.257329624822887,0.38,1.0,0.0
1004,15,right,down,down,2,5,9,6.992369524559763,7.359010605674484,7.6256876047536934,0.34,1.0,0.0
1004,16,down,up,down,1,3,7,7.126492829964263,7.44314032141483,7.676479892132193,0.54,0.0,0.0
1004,17,down,up,down,1,3,7,6.407912262420723,6.7079116264085314,6.941279650314755,0.62,0.0,0.0
1004,18,down,up,down,1,3,7,6.666345870922669,6.9329311503151985,7.1162731144486315,0.58,0.0,0.0
1004,19,down,right,up,1,4,8,6.370667374536424,6.67065468776309,6.937443825874652,0.53,0.0,0.0
1004,20,down,right,up,1,4,8,6.417789535453267,6.684426365327454,6.901099732440343,0.6,1.0,0.0
1004,21,right,up,left,2,6,10,6.978727727429941,7.41204266103523,7.628798709763942,0.3,0.0,0.0
1004,22,down,up,down,1,3,7,6.903159743224023,7.136430356806159,7.336457604917086,0.72,0.0,0.0
1004,23,down,up,down,1,3,7,6.903159743224023,7.136430356806159,7.336457604917086,0.72,0.0,0.0
1004,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13,1.0,1.0
1004,25,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.69,0.0,1.0
1004,26,down,right,up,1,4,8,6.568714615532372,6.935349336523359,7.3687205070164055,0.67,0.0,0.0
1004,27,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16,0.0,1.0
1004,28,down,right,up,1,4,8,6.579983751556938,6.9132994550709554,7.296657620785481,0.75,0.0,0.0
1004,29,down,right,up,1,4,8,6.861293388181366,7.177983392040915,7.4446336116507155,0.73,0.0,0.0
1004,30,down,right,up,1,4,8,6.641266896591333,6.941216383815117,7.241619783066199,0.73,0.0,0.0
1004,31,down,right,up,1,4,8,6.678740414203276,6.978693248860509,7.1954717253975105,0.62,0.0,0.0
1004,32,down,up,down,1,3,7,6.541984686829892,6.891937806018177,7.1586298685506335,0.69,0.0,0.0
1004,33,down,up,down,1,3,7,6.552444078606641,6.802415709105844,7.0191101650525525,0.6,0.0,0.0
1004,34,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4,1.0,1.0
1004,35,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.57,0.0,1.0
1004,36,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.49,1.0,1.0
1004,37,right,up,left,2,6,10,6.4891933119615715,6.839133710900569,7.155814341946098,0.19,0.0,0.0
1004,38,down,up,down,1,3,7,6.608706407623686,6.925360259197987,7.225338534351977,0.5,0.0,0.0
1004,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.44,1.0,1.0
1004,40,down,right,up,1,4,8,6.643762073774269,6.910441750800601,7.160524850845832,0.4,0.0,0.0
1004,41,right,up,left,2,6,10,7.608604645634841,7.9752212904822954,8.241889586231991,0.54,0.0,0.0
1004,42,right,up,left,2,6,10,6.56568184047137,6.832347458275763,7.015681053824665,0.55,0.0,0.0
1004,43,right,up,left,2,6,10,6.729698399558401,6.963009851831885,7.179732091479309,0.59,0.0,0.0
1004,44,right,up,left,2,6,10,6.599458452152248,6.899389528489337,7.099423471468981,0.63,0.0,0.0
1004,45,right,up,left,2,6,10,6.631008016098349,6.914225020527738,7.147528438959853,0.59,0.0,0.0
1004,46,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39,0.0,1.0
1004,47,down,right,up,1,4,8,6.7442450080561684,7.110892784037787,7.460921555230016,0.44,1.0,0.0
1004,48,down,right,up,1,4,8,6.890495062034461,7.19051216742082,7.440507564699146,0.42,1.0,0.0
1004,49,down,up,down,1,3,7,6.620914164097485,6.937549270041927,7.137613339926247,0.49,0.0,0.0
